PMID	chemical	trigger	target	context_sentence
25736031	Fructose	induce	insulin resistance	Fructose diets have been shown to induce insulin resistance and to alter liver metabolism and gut barrier function, ultimately leading to non-alcoholic fatty liver disease.
25736031	Fructose	alter	liver metabolism and gut barrier function	Fructose diets have been shown to induce insulin resistance and to alter liver metabolism and gut barrier function, ultimately leading to non-alcoholic fatty liver disease.
25736031	Citrulline	improve	insulin sensitivity	Citrulline, Glutamine and Arginine may improve insulin sensitivity and have beneficial effects on gut trophicity.
25736031	Glutamine	improve	insulin sensitivity	Citrulline, Glutamine and Arginine may improve insulin sensitivity and have beneficial effects on gut trophicity.
25736031	Arginine	improve	insulin sensitivity	Citrulline, Glutamine and Arginine may improve insulin sensitivity and have beneficial effects on gut trophicity.
25736031	fructose	alter	glucose homeostasis	In these experimental isonitrogenous fructose diet conditions, fructose led to steatosis with dyslipidemia but without altering glucose homeostasis, liver function or gut permeability.
25736031	Fructose	decrease	Bifidobacterium and Lactobacillus	Fructose significantly decreased Bifidobacterium and Lactobacillus and tended to increase endotoxemia.
25736031	Fructose	increase	endotoxemia	Fructose significantly decreased Bifidobacterium and Lactobacillus and tended to increase endotoxemia.
25736031	Citrulline	prevent	hypertriglyceridemia	Arginine and Glutamine supplements were ineffective but Citrulline supplementation prevented hypertriglyceridemia and attenuated liver fat accumulation.
25736031	Arginine	prevent	hypertriglyceridemia	Arginine and Glutamine supplements were ineffective but Citrulline supplementation prevented hypertriglyceridemia and attenuated liver fat accumulation.
25736031	Glutamine	prevent	hypertriglyceridemia	Arginine and Glutamine supplements were ineffective but Citrulline supplementation prevented hypertriglyceridemia and attenuated liver fat accumulation.
25736031	Citrulline	attenuate	liver fat accumulation	Arginine and Glutamine supplements were ineffective but Citrulline supplementation prevented hypertriglyceridemia and attenuated liver fat accumulation.
25736031	Arginine	attenuate	liver fat accumulation	Arginine and Glutamine supplements were ineffective but Citrulline supplementation prevented hypertriglyceridemia and attenuated liver fat accumulation.
25736031	Glutamine	attenuate	liver fat accumulation	Arginine and Glutamine supplements were ineffective but Citrulline supplementation prevented hypertriglyceridemia and attenuated liver fat accumulation.
25736031	nitrogen	attenuate	fructose-induced non-alcoholic fatty liver disease	While nitrogen supply alone can attenuate fructose-induced non-alcoholic fatty liver disease, Citrulline appears to act directly on hepatic lipid metabolism by partially preventing hypertriglyceridemia and steatosis.
25736031	Citrulline	attenuate	fructose-induced non-alcoholic fatty liver disease	While nitrogen supply alone can attenuate fructose-induced non-alcoholic fatty liver disease, Citrulline appears to act directly on hepatic lipid metabolism by partially preventing hypertriglyceridemia and steatosis.
25736031	Citrulline	prevent	hypertriglyceridemia and steatosis	While nitrogen supply alone can attenuate fructose-induced non-alcoholic fatty liver disease, Citrulline appears to act directly on hepatic lipid metabolism by partially preventing hypertriglyceridemia and steatosis.
26396156	carbohydrate	waste	disorders, metabolic disease, and nonalcoholic fatty liver disease	3,3',4,4',5-Pentachlorobiphenyl (PCB126), a dioxin-like polychlorinated biphenyl (PCB) and a potent aryl hydrocarbon receptor (AhR) agonist, is implicated in the disruption of both carbohydrate and lipid metabolism which ultimately leads to wasting disorders, metabolic disease, and nonalcoholic fatty liver disease.
