Paper,entity,type,char_start,char_end,context_sentence
/work/eval_papers/PMID_29173234.pdf,non-esterified fatty acids,CHEMICAL,433,459,"- **Stressor Snippet:** The study reported that dietary α-lactalbumin intake induced hepatic steatosis, with increased triglycerides (TAG) and non-esterified fatty acids (NEFA) in the liver."
/work/eval_papers/PMID_29173234.pdf,NEFA,CHEMICAL,461,465,"- **Stressor Snippet:** The study reported that dietary α-lactalbumin intake induced hepatic steatosis, with increased triglycerides (TAG) and non-esterified fatty acids (NEFA) in the liver."
/work/eval_papers/PMID_29173234.pdf,fatty acid,CHEMICAL,926,936,"- **Test System:** In vivo mouse model - **Test System Snippet:** Mice fed with α-lactalbumin showed increased nuclear expression of lipogenesis regulators such as SREBP-1c, LXRαβ, and PPARγ, along with enzymes like ACC1 and fatty acid synthase."
/work/eval_papers/PMID_29173234.pdf,fatty acid,CHEMICAL,970,980,There was also reduced fatty acid oxidation indicated by decreased PPARα and CPT-1 activity.
/work/eval_papers/PMID_29173234.pdf,CPT-1,CHEMICAL,1024,1029,There was also reduced fatty acid oxidation indicated by decreased PPARα and CPT-1 activity.
/work/eval_papers/PMID_29173234.pdf,fatty acid,CHEMICAL,1207,1217,"- **Evidence Level:** Functional; Translational - **Evidence Snippet:** Lipogenesis was supported by increased expression of lipogenic genes and decreased activity of fatty acid oxidation pathways, leading to liver fat accumulation."
/work/eval_papers/PMID_29173234.pdf,Mouse,SPECIES,496,501,"- **Species:** Mouse - **Species Snippet:** Male Balb/c mice fed with diets containing α-lactalbumin developed abdominal adiposity, insulin resistance, and moderate liver steatosis, with increased hepatic lipid content."
/work/eval_papers/PMID_29173234.pdf,Balb/c mice,SPECIES,530,541,"- **Species:** Mouse - **Species Snippet:** Male Balb/c mice fed with diets containing α-lactalbumin developed abdominal adiposity, insulin resistance, and moderate liver steatosis, with increased hepatic lipid content."
/work/eval_papers/PMID_29173234.pdf,mouse,SPECIES,728,733,"- **Test System:** In vivo mouse model - **Test System Snippet:** Mice fed with α-lactalbumin showed increased nuclear expression of lipogenesis regulators such as SREBP-1c, LXRαβ, and PPARγ, along with enzymes like ACC1 and fatty acid synthase."
/work/eval_papers/PMID_29173234.pdf,Mice,SPECIES,767,771,"- **Test System:** In vivo mouse model - **Test System Snippet:** Mice fed with α-lactalbumin showed increased nuclear expression of lipogenesis regulators such as SREBP-1c, LXRαβ, and PPARγ, along with enzymes like ACC1 and fatty acid synthase."
/work/eval_papers/PMID_28449683.pdf,carbon nanotubes,CHEMICAL,368,384,"### Final Biological Plausibility Score: 4.0 ### Supporting extracted data: **Paper 1: (/work/eval_papers/PMID_28449683.pdf)** - **Stressor:** Other - **Stressor Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,MWCNTs,CHEMICAL,386,392,"### Final Biological Plausibility Score: 4.0 ### Supporting extracted data: **Paper 1: (/work/eval_papers/PMID_28449683.pdf)** - **Stressor:** Other - **Stressor Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,carboxylated MWCNTs,CHEMICAL,613,632,"Pristine (XFM19) and carboxylated MWCNTs (XFM21) were internalized, accompanying cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production. - **Species:** Human - **Species Snippet:** This study investigated lipid accumulation and the possible role of lipophagy (autophagic degradation of lipid droplets) in MWCNT-exposed HepG2 cells."
/work/eval_papers/PMID_28449683.pdf,MWCNTs,CHEMICAL,992,998,The internalization of MWCNTs into HepG2 cells was observed by TEM.
/work/eval_papers/PMID_28449683.pdf,carbon nanotubes,CHEMICAL,1340,1356,"- **Test System:** In vitro - **Test System Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,MWCNTs,CHEMICAL,1358,1364,"- **Test System:** In vitro - **Test System Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,carboxylated MWCNTs,CHEMICAL,1585,1604,"Pristine (XFM19) and carboxylated MWCNTs (XFM21) were internalized, accompanying cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production. - **Evidence Level:** Functional; Transcriptional - **Evidence Snippet:** The expression of lipophagy genes, namely ATG7, PLIN2 and BECN1, as well as ER stress genes, namely DDIT-3, XBP-1s and HSPA5, was measured by real time RT-PCR."
/work/eval_papers/PMID_28449683.pdf,autophagy/ER stress,CHEMICAL,2047,2066,"These genes were selected because they are not only biomarkers for autophagy/ER stress, but also key regulators involved in lipid droplet formation."
/work/eval_papers/PMID_28449683.pdf,carbon nanotubes,CHEMICAL,2490,2506,"- **Correlation:** Negative --- **Paper 2 (Same paper as above):** - **Stressor:** Other - **Stressor Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,MWCNTs,CHEMICAL,2508,2514,"- **Correlation:** Negative --- **Paper 2 (Same paper as above):** - **Stressor:** Other - **Stressor Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,carboxylated,CHEMICAL,2735,2747,"Pristine (XFM19) and carboxylated (XFM21) MWCNTs were internalized, accompanying cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production. - **Species:** Human - **Species Snippet:** This study investigated lipid accumulation and the possible role of lipophagy (autophagic degradation of lipid droplets) in MWCNT-exposed HepG2 cells."
/work/eval_papers/PMID_28449683.pdf,MWCNTs,CHEMICAL,2756,2762,"Pristine (XFM19) and carboxylated (XFM21) MWCNTs were internalized, accompanying cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production. - **Species:** Human - **Species Snippet:** This study investigated lipid accumulation and the possible role of lipophagy (autophagic degradation of lipid droplets) in MWCNT-exposed HepG2 cells."
/work/eval_papers/PMID_28449683.pdf,MWCNTs,CHEMICAL,3114,3120,The internalization of MWCNTs into HepG2 cells was observed by TEM.
/work/eval_papers/PMID_28449683.pdf,carbon nanotubes,CHEMICAL,3462,3478,"- **Test System:** In vitro - **Test System Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,MWCNTs,CHEMICAL,3480,3486,"- **Test System:** In vitro - **Test System Snippet:** Nanoparticle (NP) exposure might promote hepatic steatosis, but relatively few studies investigated the influence of multi-walled carbon nanotubes (MWCNTs) on lipid accumulation in hepatocytes in vitro."
/work/eval_papers/PMID_28449683.pdf,carboxylated MWCNTs,CHEMICAL,3707,3726,"Pristine (XFM19) and carboxylated MWCNTs (XFM21) were internalized, accompanying cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production. - **Evidence Level:** Functional; Transcriptional - **Evidence Snippet:** The expression of lipophagy genes, namely ATG7, PLIN2 and BECN1, as well as ER stress genes, namely DDIT-3, XBP-1s and HSPA5, was measured by real time RT-PCR."
/work/eval_papers/PMID_28449683.pdf,autophagy/ER stress,CHEMICAL,4169,4188,"These genes were selected because they are not only biomarkers for autophagy/ER stress, but also key regulators involved in lipid droplet formation."
/work/eval_papers/PMID_28449683.pdf,Human,SPECIES,789,794,"Pristine (XFM19) and carboxylated MWCNTs (XFM21) were internalized, accompanying cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production. - **Species:** Human - **Species Snippet:** This study investigated lipid accumulation and the possible role of lipophagy (autophagic degradation of lipid droplets) in MWCNT-exposed HepG2 cells."
/work/eval_papers/PMID_28449683.pdf,Human,SPECIES,2911,2916,"Pristine (XFM19) and carboxylated (XFM21) MWCNTs were internalized, accompanying cytotoxicity, lysosomal destabilization, and intracellular reactive oxygen species (ROS) production. - **Species:** Human - **Species Snippet:** This study investigated lipid accumulation and the possible role of lipophagy (autophagic degradation of lipid droplets) in MWCNT-exposed HepG2 cells."
/work/eval_papers/PMID_29704577.pdf,Testosterone cypionate,CHEMICAL,316,338,"The biological plausibility evaluation for the KER ""de_novo_lipogenesis_fa_synthesis-novel_oxidative_stress"" based on the provided paper yields the following results: - **Biological Plausibility Score:** 6.0 **Supporting Evidence from the Paper (/work/eval_papers/PMID_29704577.pdf):** **Stressor:** Pharmaceutical (Testosterone cypionate combined with high-fat diet) **Stressor Snippet:**"
/work/eval_papers/PMID_29704577.pdf,steroids,CHEMICAL,437,445,"Remains unknown if dietary lipids and anabolic steroids (AS) can interact to modify energy metabolism, hepatic structure and function."
/work/eval_papers/PMID_29704577.pdf,fatty acids,CHEMICAL,678,689,"The study investigated the impact of AS on gene expression, lipid profile, redox status, and NAFLD development in mice treated with a diet rich in trans fatty acids."
/work/eval_papers/PMID_29704577.pdf,testosterone cypionate,CHEMICAL,837,859,**Species:** Mouse **Species Snippet:** 72 C57BL/6 mice were randomized into groups and treated with diets (standard or high-fat) with or without testosterone cypionate for 12 weeks.
/work/eval_papers/PMID_29704577.pdf,triglyceride,CHEMICAL,1115,1127,"**Test System:** In vivo mouse model **Evidence Level:** Functional; Transcriptional **Evidence Snippet:** All groups treated with AS or high-fat diet exhibited increased PPARα, ACOX1, SREBP-1, and SCD-1 gene expression, along with elevated triglyceride levels, oxidative stress markers, and increased NAFLD severity, indicating metabolic alterations related to lipid synthesis and oxidative stress."
/work/eval_papers/PMID_29704577.pdf,mice,SPECIES,639,643,"The study investigated the impact of AS on gene expression, lipid profile, redox status, and NAFLD development in mice treated with a diet rich in trans fatty acids."
/work/eval_papers/PMID_29704577.pdf,Mouse,SPECIES,704,709,**Species:** Mouse **Species Snippet:** 72 C57BL/6 mice were randomized into groups and treated with diets (standard or high-fat) with or without testosterone cypionate for 12 weeks.
/work/eval_papers/PMID_29704577.pdf,C57BL/6 mice,SPECIES,734,746,**Species:** Mouse **Species Snippet:** 72 C57BL/6 mice were randomized into groups and treated with diets (standard or high-fat) with or without testosterone cypionate for 12 weeks.
/work/eval_papers/PMID_29704577.pdf,mouse,SPECIES,899,904,"**Test System:** In vivo mouse model **Evidence Level:** Functional; Transcriptional **Evidence Snippet:** All groups treated with AS or high-fat diet exhibited increased PPARα, ACOX1, SREBP-1, and SCD-1 gene expression, along with elevated triglyceride levels, oxidative stress markers, and increased NAFLD severity, indicating metabolic alterations related to lipid synthesis and oxidative stress."
/work/eval_papers/PMID_32324591.pdf,sodium palmitate,CHEMICAL,423,439,"The biological plausibility score for this KER is 6.0, indicating a strong plausibility based on the evidence analyzed. **Supporting data from the paper:** - **Stressor:** Food supplement (experimental induction with sodium palmitate, high-fat diet, and SCD1 inhibitor) - **Stressors Snippet:** The model of hepatic steatosis was established by inducing mouse primary hepatocytes with sodium palmitate and feeding C57BL/6 mice with HFD, with treatment via SCD1 inhibitor."
/work/eval_papers/PMID_32324591.pdf,sodium palmitate,CHEMICAL,591,607,"The biological plausibility score for this KER is 6.0, indicating a strong plausibility based on the evidence analyzed. **Supporting data from the paper:** - **Stressor:** Food supplement (experimental induction with sodium palmitate, high-fat diet, and SCD1 inhibitor) - **Stressors Snippet:** The model of hepatic steatosis was established by inducing mouse primary hepatocytes with sodium palmitate and feeding C57BL/6 mice with HFD, with treatment via SCD1 inhibitor."
/work/eval_papers/PMID_32324591.pdf,sodium palmitate,CHEMICAL,805,821,- **Species:** Mouse - **Species Snippet:** Hepatic steatosis was modelled both in vitro with primary hepatocytes treated with sodium palmitate and in vivo with mice fed a high-fat diet.
/work/eval_papers/PMID_32324591.pdf,sodium palmitate,CHEMICAL,997,1013,- **Test System:** In vitro primary hepatocytes and in vivo mouse model - **Test System Snippet:** Primary hepatocytes treated with sodium palmitate and mice fed a high-fat diet for establishing models of hepatic steatosis.
/work/eval_papers/PMID_32324591.pdf,Sodium palmitate,CHEMICAL,1517,1533,"Sodium palmitate treatment increased SCD1 expression, decreased AMPK activation (phospho-AMPK), and impaired lipophagy, indicated by decreased LC3-II conversion and increased p62."
/work/eval_papers/PMID_32324591.pdf,LC3-II,CHEMICAL,1660,1666,"Sodium palmitate treatment increased SCD1 expression, decreased AMPK activation (phospho-AMPK), and impaired lipophagy, indicated by decreased LC3-II conversion and increased p62."
/work/eval_papers/PMID_32324591.pdf,mouse,SPECIES,560,565,"The biological plausibility score for this KER is 6.0, indicating a strong plausibility based on the evidence analyzed. **Supporting data from the paper:** - **Stressor:** Food supplement (experimental induction with sodium palmitate, high-fat diet, and SCD1 inhibitor) - **Stressors Snippet:** The model of hepatic steatosis was established by inducing mouse primary hepatocytes with sodium palmitate and feeding C57BL/6 mice with HFD, with treatment via SCD1 inhibitor."
/work/eval_papers/PMID_32324591.pdf,mice,SPECIES,628,632,"The biological plausibility score for this KER is 6.0, indicating a strong plausibility based on the evidence analyzed. **Supporting data from the paper:** - **Stressor:** Food supplement (experimental induction with sodium palmitate, high-fat diet, and SCD1 inhibitor) - **Stressors Snippet:** The model of hepatic steatosis was established by inducing mouse primary hepatocytes with sodium palmitate and feeding C57BL/6 mice with HFD, with treatment via SCD1 inhibitor."
/work/eval_papers/PMID_32324591.pdf,HFD,SPECIES,638,641,"The biological plausibility score for this KER is 6.0, indicating a strong plausibility based on the evidence analyzed. **Supporting data from the paper:** - **Stressor:** Food supplement (experimental induction with sodium palmitate, high-fat diet, and SCD1 inhibitor) - **Stressors Snippet:** The model of hepatic steatosis was established by inducing mouse primary hepatocytes with sodium palmitate and feeding C57BL/6 mice with HFD, with treatment via SCD1 inhibitor."
/work/eval_papers/PMID_32324591.pdf,Mouse,SPECIES,693,698,- **Species:** Mouse - **Species Snippet:** Hepatic steatosis was modelled both in vitro with primary hepatocytes treated with sodium palmitate and in vivo with mice fed a high-fat diet.
