PMID	chemical	trigger	target
25736031	Fructose	induce	insulin resistance
25736031	Fructose	alter	liver metabolism and gut barrier function
25736031	Citrulline	improve	insulin sensitivity
25736031	Glutamine	improve	insulin sensitivity
25736031	Arginine	improve	insulin sensitivity
25736031	fructose	alter	glucose homeostasis
25736031	Fructose	decrease	Bifidobacterium and Lactobacillus
25736031	Fructose	increase	endotoxemia
25736031	Citrulline	prevent	hypertriglyceridemia
25736031	Arginine	prevent	hypertriglyceridemia
25736031	Glutamine	prevent	hypertriglyceridemia
25736031	Citrulline	attenuate	liver fat accumulation
25736031	Arginine	attenuate	liver fat accumulation
25736031	Glutamine	attenuate	liver fat accumulation
25736031	nitrogen	attenuate	fructose-induced non-alcoholic fatty liver disease
25736031	Citrulline	attenuate	fructose-induced non-alcoholic fatty liver disease
25736031	Citrulline	prevent	hypertriglyceridemia and steatosis
26396156	carbohydrate	waste	disorders, metabolic disease, and nonalcoholic fatty liver disease
26396156	Pparα	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis
26396156	acyl-CoA oxidase	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis
26396156	Acox1	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis
26396156	hydroxy-3-methylglutaryl-CoA synthase 2	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis
26396156	Hmgcs2	indicate	changes in peroxisomal fatty acid oxidation and ketogenesis
26396156	PCB126-induced	decrease	serum glucose caused by decreased hepatic glucose production
26396156	PCB126-induced	decrease	peroxisomal fatty acid oxidation
26640164	Tetracycline	cause	hepatic steatosis, and
26640164	bicyclol	attenuate	tetracycline-induced fatty liver
26640164	tetracycline	evaluate	liver injuries
26640164	serum ALT	evaluate	liver injuries
26640164	AST	evaluate	liver injuries
26640164	TG	evaluate	liver injuries
26640164	CHO	evaluate	liver injuries
26640164	bicyclol	alleviate	hepatic apoptosis and the gene expression of caspase-3
26640164	bicyclol	increase	the gene expression of XIAP
26640164	bicyclol	protect	tetracycline-induced fatty liver
27062444	Peroxisome proliferator-activated receptor gamma	regulate	lipogenesis and lipid accumulation
27062444	Lieber-DeCarli alcohol	control	liquid diet
27062444	maltose dextrin	control	liquid diet
27062444	hepatic PPARγ	alleviate	alcohol-induced lipid accumulation
27062444	hepatic PPARγ	abolish	the up-regulation of FASN, DGAT1, and DGAT2
27062444	FL83B cells	decrease	ethanol (EtOH)-, linoleic acid-, and EtOH plus linoleic acid-induced lipid accumulation
27108203	PFOS	increase	the transcriptional expression of nuclear receptors
27108203	PFOS	decrease	liver ATP content and serum level of VLDL/LDL lipoprotein in males
27108203	PFOS	induce	hepatic steatosis in zebrafish
27108203	PFOS	disturb	lipid biosynthesis, fatty acid β-oxidation and excretion of VLDL/LDL lipoprotein
27108203	PFOS	demonstrate	the validity of using zebrafish as an alternative model for PFOS chronic toxicity screening
27124661	ethanol	dysregulate	PTEN/Akt signaling
27124661	tensin homolog	possess	constitutive activation of Akt(s
27124661	tensin	possess	constitutive activation of Akt(s
27124661	tensin homolog	increase	de novo lipogenesis resulting in increased hepatocellular steatosis
27124661	tensin	increase	de novo lipogenesis resulting in increased hepatocellular steatosis
27124661	ethanol	increase	ALT, liver triglycerides and steatosis
27124661	ethanol	decrease	hepatocellular damage
27124661	ethanol	have	no effect in PTENLKO animals
27220557	FO	attenuate	the ethanol-induced hepatic lipid accumulation in mice
27220557	Ethanol	stimulate	adipose lipolysis
27220557	Ethanol	reduce	fatty acid/lipid uptake, which were normalized by FO
27220557	FO	normalize	lipid metabolism in adipose tissue
27220557	alcohol	stimulate	hepatic fatty acid uptake and triglyceride synthesis, which were attenuated by FO
27220557	FO	upregulate	plasma adiponectin concentration
27220557	FO	upregulate	hepatic adiponectin receptor 2 expression
27220557	FO	improve	lipid homeostasis
27614967	ginsenosides	reduce	TG content (9.69±0.22 μg/mg protein vs. 4.93±0.49 μg/mg protein, P<0.01), and ROS formation (7254.8±385.7 vs. 5825.2±375.9, P<0.01)
27614967	ginsenosides	down-regulate	CYP2E1 expression (P<0.01)
27614967	ginsenosides	upregulate	PPARα expression (P<0.01) in ethanol-treated cells
27614967	Ginsenosides	prevent	ethanol-induced hepatocyte steatosis in vitro related to the inhibition of oxidative stress and the improvement of mitochondrial function
27614967	CYP2E1	play	an important role
27614967	PPARα	play	an important role
27627966	alcohol	cause	hepatic lipid accumulation
27627966	alcohol	cause	hepatic lipid accumulation in Tlr4-wild-type mice but not in Tlr4-mutant mice
27692001	fatty liver	exhibit	hyperketonemia, oxidative stress,
27692001	AcAc	decrease	the mRNA expression and activities of antioxidant enzymes superoxide dismutase (SOD), catalase (CAT), and glutathione peroxidase (GSH-Px),
27692001	AcAc	increase	malondialdehyde (MDA) content, indicative of oxidative stress
27692001	AcAc	down-regulate	the mRNA expression of apolipoprotein B100 (ApoB100), apolipoprotein E (ApoE), and low density lipoprotein receptor (LDLR), which thus decreased VLDL assembly
27692001	LDLR	decrease	VLDL assembly
27692001	AcAc	increase	triglyceride (TG) accumulation in these bovine hepatocytes
27692001	NAC	relieve	AcAc-induced oxidative stress
27692001	NAC	increase	VLDL assembly
27692001	VLDL	increase	TG accumulation in bovine hepatocytes
27837167	ligustrazine	attenuate	alcohol-induced hepatic steatosis and in vitro study
27837167	Nrf2	establish	Nrf2-knockdown mice
27837167	Nrf2	aggravate	alcoholic liver injury
27837167	Nrf2	abolish	the protective effect of ligustrazine, evidenced by elevated serum biomarkers and severe liver inflammation
27837167	Ligustrazine	ameliorate	hepatic steatosis
27837167	Ligustrazine	inhibit	hepatic sterol regulatory element-binding protein-1c and inducing peroxisome proliferator-activated receptor-alpha, which was abrogated by Nrf2 knockdown
27837167	Noteworthily	reinforce	the inductive effect of alcohol on hypoxia-inducible factor 1-alpha (HIF-1α)
27837167	Nrf2	reinforce	the inductive effect of alcohol on hypoxia-inducible factor 1-alpha (HIF-1α)
27837167	Ligustrazine	weaken	the stimulation of alcohol on HIF-1α expression, which was abrogated by Nrf2 shRNA lentivirus
27837167	Nrf2	abolish	the inhibitory effect of ligustrazine
27837167	dimethyloxalylglycine	abolish	the inhibitory effect of ligustrazine
27837167	HIF-1α	abolish	the inhibitory effect of ligustrazine
27837167	HIF-1α	mimic	the role of ligustrazine
27837167	Nrf2	mimic	the role of ligustrazine
27837167	dimethyloxalylglycine	mimic	the role of ligustrazine
27837167	HIF-1α	mimic	the role of ligustrazine
27837167	HIF-1α	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes
27837167	Nrf2	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes
27837167	dimethyloxalylglycine	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes
27837167	HIF-1α	rescue	the inhibitory effect of ligustrazine on ethanol-induced lipid accumulation in Nrf2-knockdown hepatocytes
27837167	ligustrazine	attenuate	alcohol-induced hepatic steatosis
28131861	Cyp2a5	feed	the Lieber-Decarli ethanol diet
28131861	Cyp2a5 Mice	feed	the Lieber-Decarli ethanol diet
28131861	Cyp2a5	induce	alcoholic fatty liver
28131861	Cyp2a5 Mice	induce	alcoholic fatty liver
28366540	VPA	enhance	the efficiency of fatty acid uptake mediated by CD36
28366540	VPA	increase	DGAT2 expression
28366540	DGAT2	alleviate	VPA-induced intracellular lipid accumulation
28366540	CD36	offer	novel therapeutic strategies to combat VPA-induced hepatotoxicity
28366540	DGAT2	offer	novel therapeutic strategies to combat VPA-induced hepatotoxicity
28449683	FK866	promote	liver steatosis in the mice fed with HFD and hepatic lipid accumulation in vitro
28449683	NAMPT	aggravate	the HFD- or oleic acid-induced hepatic steatosis
28449683	Nicotinamide	aggravate	the HFD- or oleic acid-induced hepatic steatosis
28449683	NMN	aggravate	the HFD- or oleic acid-induced hepatic steatosis
28449683	NAD	aggravate	the HFD- or oleic acid-induced hepatic steatosis
28449683	Nicotinamide mononucleotide	aggravate	the HFD- or oleic acid-induced hepatic steatosis
28449683	NAMPT	suppress	Sirt1-mediated signaling pathway
28449683	Nicotinamide	suppress	Sirt1-mediated signaling pathway
28449683	NMN	suppress	Sirt1-mediated signaling pathway
28449683	NAD	suppress	Sirt1-mediated signaling pathway
28449683	Nicotinamide mononucleotide	suppress	Sirt1-mediated signaling pathway
28449683	NAMPT	reduce	the production of NAD
28465000	aspartame	induce	hyperglycemia and hypertriacylglycerolemia
28465000	adiponectin	activate	receptor-γ (PPAR-γ) expression
28777337	Tunicamycin	develop	an anti-cancer drug
28777337	ER	develop	an anti-cancer drug
28777337	Tunicamycin	induce	a yellowish color and ER stress, as well as
28777337	Tunicamycin	increase	serum levels of aspartate transaminase and alanine transaminase
28777337	tunicamycin	increase	hepatic triglyceride content
28777337	tunicamycin	suppress	the expression of apolipoprotein B100
28777337	Tunicamycin	alter	hepatic energy homeostasis
28777337	Tunicamycin	increase	triglyceride accumulation
28777337	Tunicamycin	decrease	glycogen content
28803762	Alcohol	reverse	this disease
28803762	Apigenin	increase	the expression of hepatic peroxisome proliferator-activated receptor alpha (PPARα) and carnitine palmitoyltransferase-1 proteins
28803762	Apigenin	decrease	the expression of hepatic sterol regulatory element binding protein-1c, fatty acid synthase, and diacylglycerol acyltransferase proteins
28803762	apigenin	exert	a protective effect
28933423	omega-3 PUFA	ameliorate	Hcy-induced hepatic steatosis
28933423	ceramide	ameliorate	hepatic lipid accumulation
28933423	omega-3 PUFA	ameliorate	hepatic lipid accumulation
28962527	Amiodarone	cause	liver steatosis
28962527	Amiodarone	reduce	intracellular ATP and Ca2
28962527	Amiodarone	induce	ER stress and lipid accumulation
28962527	amiodarone	increase	hepatic mRNA expression of lipid droplet proteins, particularly Cidea and Cidec, in WT, but
28962527	amiodarone	suggest	a link between ER stress
28962527	amiodarone	increase	triglyceride storage
28962527	insulin	attenuate	amiodarone-induced phosphorylation of hormone sensitive lipase (HSL) in WT
28962527	ER	reduce	lipid accumulation
28962527	ER	drive	liver steatosis
28987868	Protein kinase B	play	important roles
28987868	PKB/Akt	play	important roles
28987868	cytochrome P4502E1	play	causal roles
28987868	CYP2E1	play	causal roles
28987868	ethanol	have	no effects on the protein levels of phosphatidylinositol 3 kinase (PI3K) and phosphatase and tensin homologue deleted on chromosome ten (PTEN)
28987868	N-acetyl-L-cysteine	attenuate	chronic ethanol-induced hepatic fat accumulation and the decline of Akt phosphorylation at Thr308
28987868	NAC	attenuate	chronic ethanol-induced hepatic fat accumulation and the decline of Akt phosphorylation at Thr308
28987868	Akt	alleviate	chronic ethanol-induced fatty liver
28987868	insulin-like growth factor-1	alleviate	chronic ethanol-induced fatty liver
28987868	IGF-1	alleviate	chronic ethanol-induced fatty liver
29126901	LXR activator	induced	lipid accumulation and docosahexaenoic acid (DHA; a representative n-3 PUFA)
29126901	LXR activator	inhibit	lipid accumulation
29126901	DHA	inhibit	T0901317-induced lipid accumulation in primary hepatocytes from wild type mice, but not in those from FFA4 deficient mice
29169220	HepG2 cells	induce	lipogenesis and accumulation of intracellular lipid contents
29169220	HepG2 cells	increase	the expression of SREBP-1
29169220	PA	increase	the expression of SREBP-1
29169220	estrogen	increase	the expression of SREBP-1
29169220	genistein	increase	the expression of SREBP-1
29404450	intracellular	play	a key role
29404450	hepatocytes	contain	juxtanuclear lysosomes that exhibited impaired motility
29404450	juxtanuclear lysosomes	exhibit	impaired motility
29457836	alcohol	cause	hepatic lipid accumulation
29457836	rapamycin complex 1	play	a causal role
29457836	rapamycin	play	a causal role
29457836	hepatic DEPTOR	suppress	mTORC1 signaling
29457836	hepatic DEPTOR	ameliorate	alcoholic hepatosteatosis, inflammation, and acute-on-chronic liver injury
29457836	mTORC1	attenuate	alcohol-induced cytoplasmic accumulation of the lipogenic regulator lipin 1
29457836	mTORC1	prevent	alcohol-mediated inhibition of fatty acid oxidation
29457836	rapamycin	alleviate	the ability of alcohol to up-regulate lipogenesis
29457836	rapamycin	down-regulate	fatty acid oxidation
29457836	rapamycin	induce	steatogenic phenotypes
29457836	hepatocyte-specific	disrupt	DEPTOR function
29457836	SIRT1	disrupt	DEPTOR function
29457836	hepatocyte-specific	enhance	mTORC1 activity
29457836	SIRT1	enhance	mTORC1 activity
29526820	benzbromarone	induce	hepatic toxicity in patients
29526820	benzbromarone	aggravate	hepatic steatosis in both obese db/db mice and high fat diet (HFD)-induced obese (DIO) mouse models
29526820	benzbromarone	have	less effect on the liver of lean mice
29526820	benzbromarone	promote	intracellular lipid accumulation under high free fatty acids (FFAs) conditions
29526820	benzbromarone	regulate	the expression of lipid metabolism genes
29526820	benzbromarone	increase	cell apoptosis in HepG2 cells
29526820	benzbromarone	aggravate	hepatic steatosis in obese individuals,
29526820	benzbromarone	suggest	a novel toxicological mechanism in benzbromarone-induced hepatotoxicity
29529605	AMPKα	increase	the expression and transcriptional activity of peroxisome proliferator-activated receptor α
29529605	AMPKα	upregulate	the expression of lipid oxidation genes
29529605	element-binding protein 1c	reduce	the expression of lipogenic genes
29529605	acetic acid	activate	the AMPKα signalling pathway
29529605	acetic acid	decrease	lipid synthesis in BRL-3A cells
29529605	acetic acid	reduce	liver fat accumulation
29587622	Diacylglycerol acyltransferase 1	catalyze	the final step in triglyceride synthesis
29587622	Diacylglycerol	catalyze	the final step in triglyceride synthesis
29597210	Saturated fatty acid palmitate	stimulate	lipid accumulation and apoptosis in hepatocytes
29597210	Palmitate	induce	lipid accumulation and mRNA expression of lipogenic genes such as SREBP1c and SCD1
29597210	palmitate	stimulate	caspase-3 activity
29597210	palmitate	decrease	cell viability
29597210	AMP-activated protein kinase	abolish	the effects of BO
29597210	BO	attenuate	palmitate-induced hepatic steatosis and apoptosis
29625129	miR-378	impair	FAO
29625129	miR-378	promote	lipid accumulation in murine hepatoma Hepa1-6 cells
29625129	miR-378	improve	FAO
29625129	miR-378	reduce	intracellular lipid content in Hepa1-6 cells
29625129	Liver-specific	impair	FAO, which subsequently promoted the development of hepatosteatosis
29625129	miR-378	impair	FAO, which subsequently promoted the development of hepatosteatosis
29625129	miR-378	promote	the development of hepatosteatosis
29625129	Nrf1	offset	the effects of miR-378-ASO
29625129	Nrf1	mediate	the inhibitory effect of miR-378-ASO on hepatosteatosis
29625129	Nrf1	mediate	the inhibitory effect of miR-378-ASO on hepatosteatosis
29625129	Nrf1	promote	the pathogenesis of hepatosteatosis
29630881	aldose reductase	ameliorate	alcoholic hepatic steatosis
29630881	AR	improve	alcoholic hepatic steatosis
29630881	AR	feed	a Lieber-DeCarli liquid diet
29630881	AR	affect	carbohydrates and peptides
29630881	AR	impair	galactose metabolism
29630881	galactose	impair	galactose metabolism
29630881	fatty acid	impair	galactose metabolism
29630881	AR	perturb	fatty acid biosynthesis
29630881	galactose	perturb	fatty acid biosynthesis
29630881	fatty acid	perturb	fatty acid biosynthesis
29630881	AR	suppress	ethanol-activated galactose metabolism and saturated fatty acid biosynthesis
29630881	sorbitol	augment	ethanol-induced steatosis and stearic acid
29704577	lipids	modify	energy metabolism, hepatic structure and function
29704577	steroids	modify	energy metabolism, hepatic structure and function
29704577	AS	reduce	plasma HDL cholesterol levels
29782848	alcohol	affect	these processes
29782848	TFEB	regulate	lysosomal biogenesis
29782848	alcohol	evaluate	the functions of transcription factor EB (TFEB), which regulates lysosomal biogenesis
29782848	liver-specific	have	lower levels of total and nuclear TFEB
29782848	TFEB	have	lower levels of total and nuclear TFEB
29782848	Tefb	have	lower levels of total and nuclear TFEB
29782848	Tfe3	have	lower levels of total and nuclear TFEB
29782848	TFEB	have	lower levels of total and nuclear TFEB
29782848	TFE3	have	lower levels of total and nuclear TFEB
29782848	Tfeb Liver tissues	have	lower levels of total and nuclear TFEB
